id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,revenue_per_year,price_category,occupancy_potential,facilities
40667244,First choice for home stay,68596525,Hon Ching,Chom Thong,13.69651,100.46803,Entire home/apt,1190,1,0,-2012,0,1,179,0,213010,High,49.04,
40442834,4Fun poker houseBKK for players,298229274,Krit,Phaya Thai,13.79078,100.55555,Private room,1558,7,0,-2012,0,1,89,0,138662,High,3.48,
40319983,Teegether Hostel,311564425,Veerachai,Ratchathewi,13.75693,100.53024,Private room,1450,1,0,-2012,0,1,91,0,131950,High,24.93,
40667826,Asok& New Luxury Private Room (VOQUE),265773549,Ting,Khlong Toei,13.72829,100.56127,Private room,2700,3,1,2020-03-08 00:00:00,0,1,358,0,966600,High,32.69,"BTS, MRT"
40668893,N.151 | 46 SQM studio suite next to Novotel Hotel,256916551,Pooh,Khlong Toei,13.73932,100.5531,Entire home/apt,1063,1,34,2022-11-21 00:00:00,1,3,300,15,318900,High,82.19,
40669084,"New condo, close to  bang-aor",41578204,Piraya,Bang Phlat,13.79911,100.50799,Entire home/apt,600,29,0,-2012,0,2,26,0,15600,Medium,0.25,"station, BTS"
40324695,THE GRAND LUXURY SUITE:2BR2WC/HIGH FLOOR/,79624768,Eva,Huai Khwang,13.75996,100.56889,Entire home/apt,5786,1,13,2022-11-17 00:00:00,0,44,74,9,428164,Luxury,20.27,Netflix
40671587,Moon 09近 On nut/花园泳池/健身房/WiFi/机场/商场/市中心/网红,231239852,Aimy,Khlong Toei,13.70752,100.59972,Entire home/apt,600,90,2,2020-01-14 00:00:00,0,19,83,0,49800,Medium,0.25,BTS
40680947,曼谷之家/最佳中文房东/可容纳3成人/网红火车夜市/独家全套乳胶寝具/中文电视直播/无边泳池,310142676,Jason,Huai Khwang,13.77123,100.58196,Entire home/apt,4975,100,2,2020-01-14 00:00:00,0,2,365,0,1815875,High,1.0,
40330604,THE WHITE EMPEROR LUXURY :1 BR /BIG /POOL /,79624768,Eva,Huai Khwang,13.7603,100.56863,Entire home/apt,2386,1,18,2022-02-05 00:00:00,1,44,61,1,145546,High,16.71,"Pool, MRT"
40682461,Stay in Bangkok,300906280,อัญชลี,Bang Kapi,13.80165,100.61799,Entire home/apt,346,2,5,2022-11-18 00:00:00,0,3,326,4,112796,Low,44.66,
40330912,THE PERFECT LUXURY SIGNATURE 1BR/WIFI/,79624768,Eva,Huai Khwang,13.75367,100.57461,Entire home/apt,1486,2,17,2022-12-05 00:00:00,1,44,58,13,86188,High,7.95,MRT
40331199,Sapphirehotel Economy Double Room Silom Bangkok,311663794,Sapphire,Bang Rak,13.72834,100.53531,Private room,1300,1,0,-2012,0,1,180,0,234000,High,49.32,
40682953,(SKV23)Budget Private Room for 10 near /,148066010,Tanya,Vadhana,13.73973,100.56666,Private room,2500,1,1,2020-01-01 00:00:00,0,1,90,0,225000,High,24.66,"BTS, MRT"
40687004,"5 Stars view,3rd - 1 bedroom +living room +",172801624,Nantarat,Bang Phlat,13.78032,100.49848,Entire home/apt,2000,2,16,2022-12-26 00:00:00,0,2,163,4,326000,High,22.33,balcony
40688352,Near The Grand Palace/ASOK Station/Sukhumvit,314945555,Nana,Khlong Toei,13.73402,100.55857,Entire home/apt,2243,1,18,2022-09-05 00:00:00,0,49,358,3,802994,High,98.08,"station, AC"
40689409,Private Cozy & Comfy Quad with Wonderful,14391623,Sasi,Phra Nakhon,13.74797,100.49705,Private room,2426,1,0,-2012,0,24,329,0,798154,High,90.14,Breakfast
40692289,Modern luxury 1 BR | Sky pool | Big garden,152018136,Tony,Khlong Toei,13.72634,100.56596,Entire home/apt,1050,1,35,2022-10-05 00:00:00,1,12,97,9,101850,High,26.58,Pool
40692692,Luxury condo near 21 bts mrt free pickup中文,35112478,Ping,Vadhana,13.73872,100.5618,Entire home/apt,3357,1,51,2022-12-16 00:00:00,1,12,102,28,342414,High,27.95,"terminal, BTS, MRT, Free Pickup"
40692770,ใจกลางกรุงเทพ,55514474,Nop,Vadhana,13.74128,100.58436,Entire home/apt,1500,2,0,-2012,0,1,365,0,547500,High,50.0,
40696249,Monthly★1BR w/Bathtub+Outdoor -5m &Markets,310776816,Andy,Chatu Chak,13.80401,100.57837,Entire home/apt,1220,28,17,2022-12-15 00:00:00,0,3,114,7,139080,High,1.12,"Pool, MRT"
40706788,Jintana Residence @Ari 09,289023695,Phisit,Phaya Thai,13.77349,100.53423,Private room,678,1,9,2020-03-13 00:00:00,0,11,57,0,38646,Medium,15.62,
40709593,Omnitower cozy apartment nana 27 th floor good view,164627457,M,Khlong Toei,13.73661,100.55233,Entire home/apt,1917,1,21,2022-12-07 00:00:00,1,7,360,5,690120,High,98.63,
40710963,FREE PICK UP&DROP STAY BETWEEN 8AM-6PM BKK AIRPORT,158545122,Pailin,Lat Krabang,13.72075,100.76602,Private room,1030,1,13,2022-12-07 00:00:00,0,3,362,5,372860,High,99.18,Airport
40711618,2BR！New! Near The Grand Palace/ASOK Station/4PPL,52161947,Noons,Khlong Toei,13.73593,100.55712,Entire home/apt,4486,1,30,2022-12-14 00:00:00,1,99,352,23,1579072,High,96.44,"station, AC"
40712540,New!Near The Grand Palace/ASOK Station/4PPL,52161947,Noons,Khlong Toei,13.73453,100.55716,Entire home/apt,3086,1,15,2022-11-25 00:00:00,0,99,358,14,1104788,High,98.08,"station, AC"
